# StainedGlass Shader Profiler
# Configuration: Dynamic
# BoidCount: 500
# GPU: Apple M2
# CPU: Apple M2
# RAM_MB: 16384
# UnityVersion: 6000.3.8f1
# Recorded: 2026-04-27 15:58:47
Frame,GPU_ms,RenderThread_ms,BoidCount,Configuration,IsolationActive
182,2.252,0.000,500,Dynamic,0
183,2.287,0.000,500,Dynamic,0
184,2.288,0.000,500,Dynamic,0
185,2.298,0.000,500,Dynamic,0
186,2.299,0.000,500,Dynamic,0
187,2.266,0.000,500,Dynamic,0
188,2.230,0.000,500,Dynamic,0
189,2.285,0.000,500,Dynamic,0
190,2.288,0.000,500,Dynamic,0
191,2.287,0.000,500,Dynamic,0
192,2.402,0.000,500,Dynamic,0
193,3.144,0.000,500,Dynamic,0
194,2.972,0.000,500,Dynamic,0
195,2.785,0.000,500,Dynamic,0
196,2.664,0.000,500,Dynamic,0
197,2.589,0.000,500,Dynamic,0
198,2.572,0.000,500,Dynamic,0
199,2.531,0.000,500,Dynamic,0
200,2.502,0.000,500,Dynamic,0
201,2.275,0.000,500,Dynamic,0
202,2.287,0.000,500,Dynamic,0
203,2.292,0.000,500,Dynamic,0
204,2.383,0.000,500,Dynamic,0
205,2.381,0.000,500,Dynamic,0
206,2.368,0.000,500,Dynamic,0
207,2.358,0.000,500,Dynamic,0
208,2.350,0.000,500,Dynamic,0
209,2.291,0.000,500,Dynamic,0
210,2.682,0.000,500,Dynamic,0
211,2.629,0.000,500,Dynamic,0
212,2.546,0.000,500,Dynamic,0
213,2.496,0.000,500,Dynamic,0
214,2.464,0.000,500,Dynamic,0
215,2.441,0.000,500,Dynamic,0
216,2.537,0.000,500,Dynamic,0
217,2.614,0.000,500,Dynamic,0
218,2.451,0.000,500,Dynamic,0
219,2.390,0.000,500,Dynamic,0
220,2.364,0.000,500,Dynamic,0
221,2.375,0.000,500,Dynamic,0
222,2.509,0.000,500,Dynamic,0
223,2.542,0.000,500,Dynamic,0
224,2.509,0.000,500,Dynamic,0
225,2.303,0.000,500,Dynamic,0
226,2.297,0.000,500,Dynamic,0
227,2.444,0.000,500,Dynamic,0
228,2.656,0.000,500,Dynamic,0
229,2.698,0.000,500,Dynamic,0
230,2.635,0.000,500,Dynamic,0
231,2.587,0.000,500,Dynamic,0
232,2.550,0.000,500,Dynamic,0
233,2.790,0.000,500,Dynamic,0
234,3.018,0.000,500,Dynamic,0
235,3.011,0.000,500,Dynamic,0
236,2.912,0.000,500,Dynamic,0
237,2.803,0.000,500,Dynamic,0
238,2.720,0.000,500,Dynamic,0
239,2.659,0.000,500,Dynamic,0
240,2.637,0.000,500,Dynamic,0
241,2.228,0.000,500,Dynamic,0
242,2.085,0.000,500,Dynamic,0
243,2.035,0.000,500,Dynamic,0
244,2.014,0.000,500,Dynamic,0
245,2.023,0.000,500,Dynamic,0
246,2.090,0.000,500,Dynamic,0
247,2.070,0.000,500,Dynamic,0
248,2.057,0.000,500,Dynamic,0
249,1.955,0.000,500,Dynamic,0
250,1.955,0.000,500,Dynamic,0
251,1.951,0.000,500,Dynamic,0
252,1.993,0.000,500,Dynamic,0
253,1.985,0.000,500,Dynamic,0
254,1.977,0.000,500,Dynamic,0
255,1.972,0.000,500,Dynamic,0
256,1.970,0.000,500,Dynamic,0
257,1.956,0.000,500,Dynamic,0
258,2.042,0.000,500,Dynamic,0
259,2.011,0.000,500,Dynamic,0
260,1.994,0.000,500,Dynamic,0
261,1.982,0.000,500,Dynamic,0
262,1.975,0.000,500,Dynamic,0
263,1.950,0.000,500,Dynamic,0
264,1.972,0.000,500,Dynamic,0
265,1.942,0.000,500,Dynamic,0
266,1.949,0.000,500,Dynamic,0
267,1.981,0.000,500,Dynamic,0
268,1.973,0.000,500,Dynamic,0
269,1.927,0.000,500,Dynamic,0
270,1.960,0.000,500,Dynamic,0
271,1.959,0.000,500,Dynamic,0
272,1.958,0.000,500,Dynamic,0
273,1.949,0.000,500,Dynamic,0
274,1.895,0.000,500,Dynamic,0
275,1.842,0.000,500,Dynamic,0
276,1.908,0.000,500,Dynamic,0
277,1.913,0.000,500,Dynamic,0
278,1.920,0.000,500,Dynamic,0
279,1.923,0.000,500,Dynamic,0
280,1.902,0.000,500,Dynamic,0
281,1.798,0.000,500,Dynamic,0
282,1.968,0.000,500,Dynamic,0
283,1.958,0.000,500,Dynamic,0
284,1.956,0.000,500,Dynamic,0
285,1.956,0.000,500,Dynamic,0
286,1.954,0.000,500,Dynamic,0
287,1.936,0.000,500,Dynamic,0
288,1.941,0.000,500,Dynamic,0
289,1.954,0.000,500,Dynamic,0
290,1.940,0.000,500,Dynamic,0
291,1.943,0.000,500,Dynamic,0
292,1.945,0.000,500,Dynamic,0
293,1.985,0.000,500,Dynamic,0
294,1.986,0.000,500,Dynamic,0
295,1.980,0.000,500,Dynamic,0
296,1.975,0.000,500,Dynamic,0
297,1.943,0.000,500,Dynamic,0
298,1.944,0.000,500,Dynamic,0
299,2.033,0.000,500,Dynamic,0
300,2.128,0.000,500,Dynamic,0
301,2.101,0.000,500,Dynamic,0
302,2.074,0.000,500,Dynamic,0
303,2.055,0.000,500,Dynamic,0
304,2.039,0.000,500,Dynamic,0
305,2.155,0.000,500,Dynamic,0
306,2.262,0.000,500,Dynamic,0
307,2.271,0.000,500,Dynamic,0
308,2.187,0.000,500,Dynamic,0
309,2.140,0.000,500,Dynamic,0
310,2.108,0.000,500,Dynamic,0
311,2.088,0.000,500,Dynamic,0
312,2.138,0.000,500,Dynamic,0
313,2.273,0.000,500,Dynamic,0
314,2.281,0.000,500,Dynamic,0
315,2.163,0.000,500,Dynamic,0
316,2.110,0.000,500,Dynamic,0
317,2.117,0.000,500,Dynamic,0
318,2.162,0.000,500,Dynamic,0
319,2.175,0.000,500,Dynamic,0
