# StainedGlass Shader Profiler
# Configuration: Hybrid
# BoidCount: 500
# GPU: Apple M2
# CPU: Apple M2
# RAM_MB: 16384
# UnityVersion: 6000.3.8f1
# Recorded: 2026-04-27 15:50:04
Frame,GPU_ms,RenderThread_ms,BoidCount,Configuration,IsolationActive
182,4.184,0.000,500,Hybrid,0
183,4.058,0.000,500,Hybrid,0
184,3.914,0.000,500,Hybrid,0
185,2.896,0.000,500,Hybrid,0
186,2.789,0.000,500,Hybrid,0
187,2.889,0.000,500,Hybrid,0
188,2.837,0.000,500,Hybrid,0
189,2.892,0.000,500,Hybrid,0
190,2.982,0.000,500,Hybrid,0
191,2.959,0.000,500,Hybrid,0
192,2.975,0.000,500,Hybrid,0
193,2.423,0.000,500,Hybrid,0
194,2.671,0.000,500,Hybrid,0
195,2.845,0.000,500,Hybrid,0
196,2.917,0.000,500,Hybrid,0
197,2.954,0.000,500,Hybrid,0
198,2.909,0.000,500,Hybrid,0
199,2.873,0.000,500,Hybrid,0
200,2.875,0.000,500,Hybrid,0
201,2.992,0.000,500,Hybrid,0
202,3.063,0.000,500,Hybrid,0
203,2.945,0.000,500,Hybrid,0
204,2.988,0.000,500,Hybrid,0
205,3.000,0.000,500,Hybrid,0
206,3.030,0.000,500,Hybrid,0
207,3.007,0.000,500,Hybrid,0
208,3.077,0.000,500,Hybrid,0
209,2.333,0.000,500,Hybrid,0
210,2.526,0.000,500,Hybrid,0
211,2.493,0.000,500,Hybrid,0
212,2.877,0.000,500,Hybrid,0
213,2.799,0.000,500,Hybrid,0
214,2.731,0.000,500,Hybrid,0
215,2.737,0.000,500,Hybrid,0
216,2.986,0.000,500,Hybrid,0
217,2.731,0.000,500,Hybrid,0
218,2.612,0.000,500,Hybrid,0
219,2.821,0.000,500,Hybrid,0
220,3.108,0.000,500,Hybrid,0
221,3.304,0.000,500,Hybrid,0
222,3.237,0.000,500,Hybrid,0
223,3.177,0.000,500,Hybrid,0
224,3.286,0.000,500,Hybrid,0
225,4.258,0.000,500,Hybrid,0
226,4.139,0.000,500,Hybrid,0
227,4.722,0.000,500,Hybrid,0
228,4.467,0.000,500,Hybrid,0
229,4.458,0.000,500,Hybrid,0
230,4.470,0.000,500,Hybrid,0
231,4.496,0.000,500,Hybrid,0
232,4.850,0.000,500,Hybrid,0
233,5.041,0.000,500,Hybrid,0
234,4.638,0.000,500,Hybrid,0
235,4.503,0.000,500,Hybrid,0
236,5.225,0.000,500,Hybrid,0
237,5.317,0.000,500,Hybrid,0
238,6.478,0.000,500,Hybrid,0
239,6.440,0.000,500,Hybrid,0
240,6.233,0.000,500,Hybrid,0
241,8.159,0.000,500,Hybrid,0
242,6.444,0.000,500,Hybrid,0
243,5.660,0.000,500,Hybrid,0
244,4.936,0.000,500,Hybrid,0
245,4.642,0.000,500,Hybrid,0
246,4.600,0.000,500,Hybrid,0
247,4.481,0.000,500,Hybrid,0
248,4.318,0.000,500,Hybrid,0
249,3.151,0.000,500,Hybrid,0
250,3.877,0.000,500,Hybrid,0
251,4.085,0.000,500,Hybrid,0
