# StainedGlass Shader Profiler
# Shader filter: StainedGlassMat2
# Recorded: 4/20/2026 4:11:09 PM
Frame,GPU_ms,RenderThread_ms,IsolationActive
30,1.936,0.000,0
31,1.964,0.000,0
32,1.955,0.000,0
33,1.902,0.000,0
34,1.899,0.000,0
35,1.959,0.000,0
36,1.937,0.000,0
37,1.923,0.000,0
38,1.915,0.000,0
39,1.911,0.000,0
40,1.912,0.000,0
41,1.889,0.000,0
42,1.895,0.000,0
43,1.379,0.000,0
44,1.973,0.000,0
45,1.967,0.000,0
46,1.950,0.000,0
47,1.946,0.000,0
48,1.963,0.000,0
49,1.917,0.000,0
50,1.921,0.000,0
51,1.923,0.000,0
52,1.963,0.000,0
53,1.945,0.000,0
54,1.933,0.000,0
55,1.924,0.000,0
56,1.929,0.000,0
57,2.028,0.000,0
58,1.960,0.000,0
59,1.951,0.000,0
60,1.929,0.000,0
61,1.926,0.000,0
62,1.936,0.000,0
63,1.936,0.000,0
64,1.941,0.000,0
65,1.884,0.000,0
66,2.072,0.000,0
67,2.032,0.000,0
68,2.004,0.000,0
69,2.002,0.000,0
70,2.004,0.000,0
71,2.018,0.000,0
72,2.023,0.000,0
73,2.078,0.000,0
74,2.052,0.000,0
75,2.184,0.000,0
76,2.209,0.000,0
77,2.185,0.000,0
78,2.170,0.000,0
79,2.174,0.000,0
80,2.186,0.000,0
81,2.270,0.000,0
82,2.284,0.000,0
83,2.284,0.000,0
84,2.420,0.000,0
85,2.448,0.000,0
86,2.441,0.000,0
87,2.417,0.000,0
88,2.397,0.000,0
89,2.741,0.000,0
90,2.662,0.000,0
91,2.629,0.000,0
92,2.611,0.000,0
93,2.573,0.000,0
94,2.678,0.000,0
95,2.716,0.000,0
96,2.696,0.000,0
97,2.550,0.000,0
98,2.559,0.000,0
99,2.771,0.000,0
100,2.824,0.000,0
101,2.852,0.000,0
102,2.873,0.000,0
103,2.922,0.000,0
104,3.041,0.000,0
105,2.971,0.000,0
106,2.969,0.000,0
107,2.968,0.000,0
108,3.228,0.000,0
109,3.352,0.000,0
110,3.373,0.000,0
111,3.389,0.000,0
112,3.357,0.000,0
113,3.155,0.000,0
114,3.090,0.000,0
115,3.034,0.000,0
116,3.020,0.000,0
117,2.956,0.000,0
118,2.924,0.000,0
119,2.875,0.000,0
