# StainedGlass Shader Profiler
# Configuration: Static
# BoidCount: 500
# GPU: Apple M2
# CPU: Apple M2
# RAM_MB: 16384
# UnityVersion: 6000.3.8f1
# Recorded: 2026-04-27 15:51:47
Frame,GPU_ms,RenderThread_ms,BoidCount,Configuration,IsolationActive
209,3.059,0.000,500,Static,0
210,2.734,0.000,500,Static,0
211,2.587,0.000,500,Static,0
212,2.516,0.000,500,Static,0
213,2.472,0.000,500,Static,0
214,2.443,0.000,500,Static,0
215,2.527,0.000,500,Static,0
216,2.517,0.000,500,Static,0
217,2.296,0.000,500,Static,0
218,2.303,0.000,500,Static,0
219,2.302,0.000,500,Static,0
220,2.302,0.000,500,Static,0
221,2.479,0.000,500,Static,0
222,2.528,0.000,500,Static,0
223,2.497,0.000,500,Static,0
224,2.473,0.000,500,Static,0
225,2.306,0.000,500,Static,0
226,2.301,0.000,500,Static,0
227,2.596,0.000,500,Static,0
228,2.677,0.000,500,Static,0
229,2.624,0.000,500,Static,0
230,2.588,0.000,500,Static,0
231,2.546,0.000,500,Static,0
232,2.516,0.000,500,Static,0
233,3.190,0.000,500,Static,0
234,3.108,0.000,500,Static,0
235,2.867,0.000,500,Static,0
236,2.722,0.000,500,Static,0
237,2.637,0.000,500,Static,0
238,2.581,0.000,500,Static,0
239,2.686,0.000,500,Static,0
240,2.699,0.000,500,Static,0
241,2.273,0.000,500,Static,0
242,2.289,0.000,500,Static,0
243,2.290,0.000,500,Static,0
244,2.294,0.000,500,Static,0
245,2.483,0.000,500,Static,0
246,2.535,0.000,500,Static,0
247,2.520,0.000,500,Static,0
248,2.494,0.000,500,Static,0
249,2.297,0.000,500,Static,0
250,2.297,0.000,500,Static,0
251,2.467,0.000,500,Static,0
252,2.423,0.000,500,Static,0
253,2.398,0.000,500,Static,0
254,2.383,0.000,500,Static,0
255,2.371,0.000,500,Static,0
256,2.362,0.000,500,Static,0
257,2.612,0.000,500,Static,0
258,2.449,0.000,500,Static,0
259,2.401,0.000,500,Static,0
260,2.373,0.000,500,Static,0
261,2.360,0.000,500,Static,0
262,2.359,0.000,500,Static,0
263,2.390,0.000,500,Static,0
264,2.377,0.000,500,Static,0
265,2.299,0.000,500,Static,0
266,2.305,0.000,500,Static,0
267,2.306,0.000,500,Static,0
268,2.318,0.000,500,Static,0
269,2.366,0.000,500,Static,0
270,2.352,0.000,500,Static,0
271,2.345,0.000,500,Static,0
272,2.333,0.000,500,Static,0
273,2.308,0.000,500,Static,0
274,2.369,0.000,500,Static,0
275,2.418,0.000,500,Static,0
276,2.394,0.000,500,Static,0
277,2.378,0.000,500,Static,0
278,2.369,0.000,500,Static,0
279,2.360,0.000,500,Static,0
280,2.361,0.000,500,Static,0
281,2.502,0.000,500,Static,0
282,2.398,0.000,500,Static,0
283,2.368,0.000,500,Static,0
284,2.345,0.000,500,Static,0
285,2.337,0.000,500,Static,0
286,2.341,0.000,500,Static,0
287,2.381,0.000,500,Static,0
288,2.372,0.000,500,Static,0
289,2.316,0.000,500,Static,0
290,2.313,0.000,500,Static,0
291,2.310,0.000,500,Static,0
292,2.328,0.000,500,Static,0
