# StainedGlass Shader Profiler
# Shader filter: DynamicShader
# Recorded: 4/25/2026 1:49:08 PM
Frame,GPU_ms,RenderThread_ms,IsolationActive
307,0.781,0.000,0
308,0.774,0.000,0
309,0.775,0.000,0
310,0.775,0.000,0
311,0.773,0.000,0
312,0.771,0.000,0
313,0.778,0.000,0
314,0.771,0.000,0
315,0.774,0.000,0
316,0.770,0.000,0
317,0.772,0.000,0
318,0.772,0.000,0
319,0.773,0.000,0
320,0.770,0.000,0
321,0.778,0.000,0
322,0.775,0.000,0
323,0.778,0.000,0
324,0.772,0.000,0
325,0.774,0.000,0
326,0.776,0.000,0
327,0.774,0.000,0
328,0.771,0.000,0
329,0.785,0.000,0
330,0.771,0.000,0
331,0.773,0.000,0
332,0.769,0.000,0
333,0.639,0.000,0
334,0.663,0.000,0
335,0.675,0.000,0
336,0.687,0.000,0
337,0.770,0.000,0
338,0.775,0.000,0
339,0.767,0.000,0
340,0.772,0.000,0
341,0.772,0.000,0
342,0.788,0.000,0
343,0.676,0.000,0
344,0.706,0.000,0
345,1.035,0.000,0
346,0.973,0.000,0
347,1.130,0.000,0
348,1.208,0.000,0
349,1.186,0.000,0
350,1.172,0.000,0
351,1.157,0.000,0
352,1.148,0.000,0
353,0.184,0.000,0
354,0.623,0.000,0
355,0.783,0.000,0
356,0.860,0.000,0
357,0.903,0.000,0
358,0.926,0.000,0
359,0.948,0.000,0
360,0.963,0.000,0
361,1.105,0.000,0
362,1.321,0.000,0
363,1.249,0.000,0
364,1.446,0.000,0
365,1.460,0.000,0
366,1.898,0.000,0
367,1.850,0.000,0
368,1.761,0.000,0
369,1.158,0.000,0
370,1.140,0.000,0
371,1.149,0.000,0
372,1.146,0.000,0
373,0.953,0.000,0
374,0.992,0.000,0
375,1.009,0.000,0
376,1.029,0.000,0
377,1.144,0.000,0
378,1.155,0.000,0
379,1.286,0.000,0
380,1.249,0.000,0
381,1.228,0.000,0
382,1.211,0.000,0
383,1.201,0.000,0
384,1.246,0.000,0
385,1.130,0.000,0
386,1.136,0.000,0
387,1.135,0.000,0
388,1.131,0.000,0
389,1.217,0.000,0
390,1.206,0.000,0
391,1.196,0.000,0
392,1.190,0.000,0
393,1.132,0.000,0
394,1.360,0.000,0
395,1.269,0.000,0
396,0.952,0.000,0
397,0.989,0.000,0
398,1.018,0.000,0
399,1.040,0.000,0
400,1.051,0.000,0
401,1.170,0.000,0
402,1.362,0.000,0
403,1.296,0.000,0
404,1.251,0.000,0
405,1.229,0.000,0
406,1.214,0.000,0
407,1.255,0.000,0
408,1.239,0.000,0
409,1.148,0.000,0
410,1.143,0.000,0
411,1.153,0.000,0
412,1.140,0.000,0
413,1.141,0.000,0
414,0.977,0.000,0
415,0.998,0.000,0
416,1.077,0.000,0
417,1.125,0.000,0
418,1.147,0.000,0
419,1.144,0.000,0
420,1.148,0.000,0
421,1.140,0.000,0
422,1.137,0.000,0
423,1.138,0.000,0
424,1.140,0.000,0
425,1.120,0.000,0
426,1.136,0.000,0
427,1.140,0.000,0
428,1.144,0.000,0
429,1.137,0.000,0
430,1.138,0.000,0
431,1.195,0.000,0
432,1.189,0.000,0
433,1.122,0.000,0
434,1.143,0.000,0
435,1.142,0.000,0
436,1.146,0.000,0
437,1.139,0.000,0
438,1.136,0.000,0
439,1.138,0.000,0
440,1.139,0.000,0
441,1.547,0.000,0
