# StainedGlass Shader Profiler
# Shader filter: StainedGlassMat2
# Recorded: 4/20/2026 1:52:10 PM
Frame,GPU_ms,RenderThread_ms,IsolationActive
30,1.288,0.000,0
31,1.333,0.000,0
32,1.325,0.000,0
33,1.266,0.000,0
34,1.266,0.000,0
35,1.267,0.000,0
36,1.267,0.000,0
37,1.335,0.000,0
38,1.324,0.000,0
39,1.316,0.000,0
40,1.310,0.000,0
41,1.267,0.000,0
42,1.269,0.000,0
43,1.267,0.000,0
44,1.268,0.000,0
45,1.267,0.000,0
46,1.266,0.000,0
47,1.267,0.000,0
48,1.267,0.000,0
49,1.274,0.000,0
50,1.270,0.000,0
51,1.327,0.000,0
52,1.313,0.000,0
53,1.304,0.000,0
54,1.298,0.000,0
55,1.291,0.000,0
56,1.289,0.000,0
57,1.269,0.000,0
58,1.272,0.000,0
59,1.272,0.000,0
60,1.275,0.000,0
61,1.274,0.000,0
62,1.274,0.000,0
63,1.274,0.000,0
64,1.275,0.000,0
65,1.267,0.000,0
66,0.687,0.000,0
67,1.356,0.000,0
68,1.336,0.000,0
69,1.321,0.000,0
70,1.313,0.000,0
71,1.307,0.000,0
72,1.302,0.000,0
73,1.274,0.000,0
74,1.271,0.000,0
75,1.267,0.000,0
76,1.265,0.000,0
77,1.265,0.000,0
78,1.265,0.000,0
79,1.266,0.000,0
80,1.265,0.000,0
81,1.445,0.000,0
82,1.355,0.000,0
83,1.321,0.000,0
84,1.306,0.000,0
85,1.298,0.000,0
86,1.292,0.000,0
87,1.289,0.000,0
88,1.309,0.000,0
89,1.270,0.000,0
90,1.268,0.000,0
91,1.266,0.000,0
92,1.265,0.000,0
93,1.266,0.000,0
94,1.266,0.000,0
95,1.265,0.000,0
96,1.265,0.000,0
97,1.266,0.000,0
98,1.265,0.000,0
99,1.255,0.000,0
100,1.258,0.000,0
101,1.258,0.000,0
102,1.261,0.000,0
103,1.265,0.000,0
104,1.274,0.000,0
105,1.278,0.000,0
106,1.283,0.000,0
107,1.276,0.000,0
108,1.273,0.000,0
109,1.270,0.000,0
110,1.306,0.000,0
111,1.308,0.000,0
112,1.307,0.000,0
113,1.291,0.000,0
114,1.292,0.000,0
115,1.295,0.000,0
116,1.296,0.000,0
117,1.353,0.000,0
118,1.359,0.000,0
119,1.363,0.000,0
120,1.360,0.000,0
121,1.303,0.000,0
122,1.297,0.000,0
123,1.299,0.000,0
124,1.376,0.000,0
125,1.377,0.000,0
126,1.379,0.000,0
127,1.381,0.000,0
128,1.382,0.000,0
129,1.400,0.000,0
130,1.396,0.000,0
131,1.416,0.000,0
132,1.444,0.000,0
133,1.459,0.000,0
134,1.464,0.000,0
135,1.455,0.000,0
136,1.446,0.000,0
137,1.387,0.000,0
138,1.385,0.000,0
139,1.495,0.000,0
140,1.500,0.000,0
141,1.503,0.000,0
142,1.506,0.000,0
143,1.510,0.000,0
144,1.510,0.000,0
145,1.482,0.000,0
146,1.690,0.000,0
147,1.693,0.000,0
148,1.686,0.000,0
149,1.652,0.000,0
150,1.630,0.000,0
151,1.614,0.000,0
152,1.609,0.000,0
153,1.816,0.000,0
154,1.755,0.000,0
155,1.729,0.000,0
156,1.728,0.000,0
157,1.723,0.000,0
158,1.709,0.000,0
159,1.763,0.000,0
160,1.786,0.000,0
161,1.861,0.000,0
162,1.789,0.000,0
163,1.761,0.000,0
164,1.743,0.000,0
165,1.848,0.000,0
166,1.876,0.000,0
167,1.686,0.000,0
168,1.987,0.000,0
169,2.007,0.000,0
170,2.553,0.000,0
171,2.556,0.000,0
172,2.416,0.000,0
173,2.322,0.000,0
174,2.263,0.000,0
175,2.267,0.000,0
176,2.327,0.000,0
177,2.796,0.000,0
178,2.775,0.000,0
179,2.808,0.000,0
180,2.877,0.000,0
181,2.910,0.000,0
182,2.863,0.000,0
183,2.736,0.000,0
184,2.608,0.000,0
185,1.688,0.000,0
186,1.696,0.000,0
187,1.694,0.000,0
188,1.694,0.000,0
189,1.768,0.000,0
190,1.757,0.000,0
191,1.746,0.000,0
192,1.735,0.000,0
193,1.717,0.000,0
194,1.727,0.000,0
