# StainedGlass Shader Profiler
# ShaderMode: Static
# BoidCount: 1000
# RecordingDuration_s: 30
# GPU: NVIDIA GeForce RTX 3080
# CPU: AMD Ryzen 7 7700X 8-Core Processor 
# RAM_MB: 31895
# UnityVersion: 6000.3.8f1
# Recorded: 2026-05-13 22:56:38
Frame,PhaseTime_s,GPU_ms,RenderThread_ms,BoidCount,ShaderMode
31,0.0137,0.121,0.000,1000,Static
32,0.0189,0.136,0.000,1000,Static
33,0.0235,0.195,0.000,1000,Static
34,0.0290,0.197,0.000,1000,Static
35,0.0337,0.198,0.000,1000,Static
36,0.0394,0.149,0.000,1000,Static
37,0.0464,0.160,0.000,1000,Static
38,0.0546,0.167,0.000,1000,Static
39,0.0632,0.172,0.000,1000,Static
40,0.0718,0.176,0.000,1000,Static
41,0.0800,0.204,0.000,1000,Static
42,0.0885,0.202,0.000,1000,Static
43,0.0964,0.208,0.000,1000,Static
44,0.1050,0.207,0.000,1000,Static
45,0.1138,0.206,0.000,1000,Static
46,0.1226,0.172,0.000,1000,Static
47,0.1311,0.176,0.000,1000,Static
48,0.1387,0.178,0.000,1000,Static
49,0.1476,0.204,0.000,1000,Static
50,0.1557,0.203,0.000,1000,Static
51,0.1650,0.202,0.000,1000,Static
52,0.1736,0.202,0.000,1000,Static
53,0.1822,0.202,0.000,1000,Static
54,0.1911,0.202,0.000,1000,Static
55,0.2000,0.202,0.000,1000,Static
56,0.2088,0.202,0.000,1000,Static
57,0.2178,0.202,0.000,1000,Static
58,0.2266,0.204,0.000,1000,Static
59,0.2349,0.203,0.000,1000,Static
60,0.2427,0.204,0.000,1000,Static
61,0.2505,0.203,0.000,1000,Static
62,0.2584,0.169,0.000,1000,Static
63,0.2665,0.175,0.000,1000,Static
64,0.2744,0.179,0.000,1000,Static
65,0.2827,0.210,0.000,1000,Static
66,0.2909,0.207,0.000,1000,Static
67,0.2995,0.208,0.000,1000,Static
68,0.3080,0.206,0.000,1000,Static
69,0.3155,0.206,0.000,1000,Static
70,0.3233,0.206,0.000,1000,Static
71,0.3309,0.206,0.000,1000,Static
72,0.3385,0.181,0.000,1000,Static
73,0.3464,0.211,0.000,1000,Static
74,0.3539,0.215,0.000,1000,Static
75,0.3616,0.213,0.000,1000,Static
76,0.3696,0.212,0.000,1000,Static
77,0.3768,0.212,0.000,1000,Static
78,0.3849,0.212,0.000,1000,Static
79,0.3927,0.211,0.000,1000,Static
80,0.4004,0.211,0.000,1000,Static
81,0.4086,0.207,0.000,1000,Static
82,0.4164,0.208,0.000,1000,Static
83,0.4242,0.207,0.000,1000,Static
84,0.4323,0.208,0.000,1000,Static
