# StainedGlass Shader Profiler
# Shader filter: StainedGlassMat2
# Recorded: 4/20/2026 4:14:59 PM
Frame,GPU_ms,RenderThread_ms,IsolationActive
30,2.350,0.000,0
31,2.336,0.000,0
32,2.387,0.000,0
33,2.440,0.000,0
34,2.431,0.000,0
35,1.817,0.000,0
36,2.566,0.000,0
37,2.551,0.000,0
38,2.541,0.000,0
39,2.531,0.000,0
40,2.547,0.000,0
41,3.492,0.000,0
42,3.312,0.000,0
43,3.042,0.000,0
44,2.902,0.000,0
45,2.822,0.000,0
46,2.923,0.000,0
47,3.004,0.000,0
48,2.941,0.000,0
49,2.487,0.000,0
50,2.489,0.000,0
51,2.791,0.000,0
52,3.012,0.000,0
53,3.114,0.000,0
54,3.021,0.000,0
55,2.945,0.000,0
56,3.006,0.000,0
57,3.310,0.000,0
58,3.262,0.000,0
59,3.255,0.000,0
60,3.094,0.000,0
61,3.140,0.000,0
62,3.091,0.000,0
63,3.006,0.000,0
64,2.937,0.000,0
65,2.471,0.000,0
66,2.573,0.000,0
67,2.721,0.000,0
68,2.656,0.000,0
69,2.626,0.000,0
70,2.603,0.000,0
71,2.589,0.000,0
72,2.654,0.000,0
73,2.483,0.000,0
74,2.476,0.000,0
75,2.475,0.000,0
76,2.485,0.000,0
77,2.508,0.000,0
78,2.544,0.000,0
79,2.538,0.000,0
80,2.533,0.000,0
81,2.501,0.000,0
82,2.616,0.000,0
83,2.664,0.000,0
84,2.623,0.000,0
85,2.598,0.000,0
86,2.576,0.000,0
87,2.570,0.000,0
88,2.634,0.000,0
89,2.651,0.000,0
90,2.584,0.000,0
91,2.555,0.000,0
92,2.545,0.000,0
93,2.593,0.000,0
94,2.615,0.000,0
95,2.598,0.000,0
96,2.588,0.000,0
97,2.515,0.000,0
98,2.513,0.000,0
99,2.728,0.000,0
100,2.663,0.000,0
101,2.632,0.000,0
102,2.610,0.000,0
103,2.594,0.000,0
104,2.698,0.000,0
105,3.256,0.000,0
106,2.867,0.000,0
107,2.751,0.000,0
108,2.693,0.000,0
109,2.653,0.000,0
110,2.560,0.000,0
111,2.499,0.000,0
112,2.453,0.000,0
113,2.130,0.000,0
114,2.130,0.000,0
115,2.050,0.000,0
116,2.112,0.000,0
117,2.117,0.000,0
118,2.119,0.000,0
119,2.095,0.000,0
120,2.069,0.000,0
121,1.911,0.000,0
122,2.115,0.000,0
123,2.097,0.000,0
124,2.044,0.000,0
125,2.012,0.000,0
126,1.992,0.000,0
127,1.977,0.000,0
128,1.990,0.000,0
129,1.892,0.000,0
130,1.898,0.000,0
131,1.895,0.000,0
132,1.897,0.000,0
133,1.896,0.000,0
134,1.920,0.000,0
135,1.916,0.000,0
136,1.915,0.000,0
137,1.895,0.000,0
138,1.895,0.000,0
139,1.855,0.000,0
140,1.915,0.000,0
141,1.909,0.000,0
142,1.909,0.000,0
143,1.914,0.000,0
144,1.904,0.000,0
145,1.756,0.000,0
146,1.913,0.000,0
147,1.893,0.000,0
148,1.891,0.000,0
149,1.897,0.000,0
150,1.872,0.000,0
151,1.856,0.000,0
152,1.885,0.000,0
153,1.906,0.000,0
154,1.905,0.000,0
155,1.917,0.000,0
156,1.876,0.000,0
157,1.855,0.000,0
158,1.891,0.000,0
159,1.894,0.000,0
160,1.895,0.000,0
161,1.898,0.000,0
162,1.830,0.000,0
163,1.800,0.000,0
164,1.869,0.000,0
165,1.879,0.000,0
166,1.881,0.000,0
167,1.884,0.000,0
168,1.871,0.000,0
169,1.753,0.000,0
170,1.823,0.000,0
171,1.850,0.000,0
172,1.866,0.000,0
173,1.874,0.000,0
174,1.882,0.000,0
175,1.860,0.000,0
176,1.887,0.000,0
177,1.910,0.000,0
178,1.904,0.000,0
179,1.909,0.000,0
180,1.908,0.000,0
181,1.906,0.000,0
182,1.972,0.000,0
183,1.966,0.000,0
184,1.959,0.000,0
185,1.891,0.000,0
186,1.894,0.000,0
187,1.899,0.000,0
188,1.958,0.000,0
189,1.997,0.000,0
190,1.982,0.000,0
191,1.971,0.000,0
192,1.961,0.000,0
193,1.920,0.000,0
194,2.115,0.000,0
195,2.127,0.000,0
