# StainedGlass Shader Profiler
# ShaderMode: Static
# BoidCount: 100
# RecordingDuration_s: 30
# GPU: Apple M2
# CPU: Apple M2
# RAM_MB: 16384
# UnityVersion: 6000.3.8f1
# Recorded: 2026-05-07 14:50:36
Frame,PhaseTime_s,GPU_ms,RenderThread_ms,BoidCount,ShaderMode
31,0.0087,1.686,0.000,100,Static
32,0.0128,1.654,0.000,100,Static
33,0.0168,1.468,0.000,100,Static
34,0.0216,1.465,0.000,100,Static
35,0.0252,1.466,0.000,100,Static
36,0.0287,1.464,0.000,100,Static
37,0.0317,1.191,0.000,100,Static
38,0.0346,1.504,0.000,100,Static
39,0.0377,1.495,0.000,100,Static
40,0.0409,1.492,0.000,100,Static
41,0.0440,1.455,0.000,100,Static
42,0.0469,1.465,0.000,100,Static
43,0.0497,1.462,0.000,100,Static
44,0.0527,1.473,0.000,100,Static
45,0.0557,1.474,0.000,100,Static
46,0.0585,1.471,0.000,100,Static
47,0.0619,1.483,0.000,100,Static
48,0.0647,1.490,0.000,100,Static
49,0.0679,1.662,0.000,100,Static
50,0.0711,1.630,0.000,100,Static
51,0.0739,1.621,0.000,100,Static
52,0.0767,1.606,0.000,100,Static
53,0.0796,1.628,0.000,100,Static
54,0.0831,1.626,0.000,100,Static
55,0.0859,1.629,0.000,100,Static
56,0.0888,1.640,0.000,100,Static
57,0.0918,1.698,0.000,100,Static
58,0.0947,1.825,0.000,100,Static
59,0.0974,1.850,0.000,100,Static
60,0.1009,1.855,0.000,100,Static
61,0.1038,1.873,0.000,100,Static
62,0.1070,1.885,0.000,100,Static
63,0.1099,1.897,0.000,100,Static
64,0.1127,1.941,0.000,100,Static
65,0.1159,1.911,0.000,100,Static
66,0.1187,2.128,0.000,100,Static
67,0.1244,2.179,0.000,100,Static
68,0.1276,2.199,0.000,100,Static
69,0.1306,2.314,0.000,100,Static
70,0.1334,2.054,0.000,100,Static
71,0.1362,2.492,0.000,100,Static
72,0.1394,2.547,0.000,100,Static
73,0.1427,2.442,0.000,100,Static
74,0.1455,2.036,0.000,100,Static
75,0.1485,1.886,0.000,100,Static
76,0.1514,1.862,0.000,100,Static
77,0.1544,1.800,0.000,100,Static
78,0.1574,1.742,0.000,100,Static
79,0.1601,1.704,0.000,100,Static
80,0.1635,1.678,0.000,100,Static
81,0.1664,1.448,0.000,100,Static
82,0.1692,1.448,0.000,100,Static
83,0.1721,1.436,0.000,100,Static
84,0.1750,1.441,0.000,100,Static
85,0.1778,1.439,0.000,100,Static
86,0.1811,1.434,0.000,100,Static
87,0.1840,1.432,0.000,100,Static
88,0.1870,1.436,0.000,100,Static
89,0.1902,1.417,0.000,100,Static
90,0.1930,1.412,0.000,100,Static
91,0.1961,1.424,0.000,100,Static
92,0.1990,1.420,0.000,100,Static
93,0.2022,1.469,0.000,100,Static
94,0.2054,1.467,0.000,100,Static
95,0.2084,1.464,0.000,100,Static
96,0.2113,1.459,0.000,100,Static
97,0.2143,1.412,0.000,100,Static
98,0.2171,1.434,0.000,100,Static
99,0.2199,1.446,0.000,100,Static
100,0.2233,1.436,0.000,100,Static
101,0.2263,1.434,0.000,100,Static
102,0.2293,1.429,0.000,100,Static
103,0.2321,1.427,0.000,100,Static
104,0.2350,1.436,0.000,100,Static
105,0.2381,1.451,0.000,100,Static
106,0.2413,1.434,0.000,100,Static
107,0.2443,1.449,0.000,100,Static
108,0.2475,1.455,0.000,100,Static
109,0.2503,1.455,0.000,100,Static
110,0.2532,1.461,0.000,100,Static
111,0.2561,1.461,0.000,100,Static
112,0.2590,1.462,0.000,100,Static
113,0.2621,1.567,0.000,100,Static
114,0.2650,1.512,0.000,100,Static
115,0.2680,1.556,0.000,100,Static
116,0.2712,1.552,0.000,100,Static
117,0.2765,1.554,0.000,100,Static
118,0.2796,1.559,0.000,100,Static
119,0.2829,1.579,0.000,100,Static
120,0.2859,1.435,0.000,100,Static
121,0.2888,3.303,0.000,100,Static
122,0.2916,2.523,0.000,100,Static
123,0.2945,2.331,0.000,100,Static
124,0.2973,2.230,0.000,100,Static
125,0.3001,2.129,0.000,100,Static
126,0.3034,2.116,0.000,100,Static
127,0.3066,2.086,0.000,100,Static
128,0.3095,2.064,0.000,100,Static
129,0.3125,2.247,0.000,100,Static
130,0.3154,2.145,0.000,100,Static
131,0.3186,2.287,0.000,100,Static
132,0.3219,2.283,0.000,100,Static
133,0.3248,2.278,0.000,100,Static
134,0.3277,2.348,0.000,100,Static
135,0.3306,2.363,0.000,100,Static
136,0.3334,2.380,0.000,100,Static
137,0.3365,2.953,0.000,100,Static
138,0.3393,2.742,0.000,100,Static
139,0.3425,2.583,0.000,100,Static
140,0.3455,2.362,0.000,100,Static
141,0.3484,2.232,0.000,100,Static
142,0.3512,2.164,0.000,100,Static
143,0.3546,2.099,0.000,100,Static
144,0.3574,2.036,0.000,100,Static
145,0.3602,1.566,0.000,100,Static
146,0.3635,1.572,0.000,100,Static
147,0.3664,1.581,0.000,100,Static
148,0.3692,1.580,0.000,100,Static
149,0.3720,1.573,0.000,100,Static
150,0.3748,1.572,0.000,100,Static
151,0.3778,1.577,0.000,100,Static
152,0.3810,1.576,0.000,100,Static
153,0.3839,1.534,0.000,100,Static
154,0.3868,1.564,0.000,100,Static
155,0.3898,1.558,0.000,100,Static
156,0.3928,1.535,0.000,100,Static
157,0.3956,1.542,0.000,100,Static
158,0.3985,1.535,0.000,100,Static
159,0.4017,1.555,0.000,100,Static
160,0.4047,1.557,0.000,100,Static
161,0.4077,1.459,0.000,100,Static
162,0.4106,1.487,0.000,100,Static
163,0.4136,1.512,0.000,100,Static
164,0.4166,1.502,0.000,100,Static
165,0.4195,1.514,0.000,100,Static
166,0.4228,1.521,0.000,100,Static
167,0.4282,1.528,0.000,100,Static
168,0.4311,1.544,0.000,100,Static
169,0.4342,1.562,0.000,100,Static
170,0.4371,0.994,0.000,100,Static
171,0.4402,1.763,0.000,100,Static
172,0.4435,1.719,0.000,100,Static
173,0.4464,1.725,0.000,100,Static
174,0.4494,1.726,0.000,100,Static
175,0.4524,1.767,0.000,100,Static
176,0.4554,1.762,0.000,100,Static
177,0.4584,1.704,0.000,100,Static
178,0.4617,1.794,0.000,100,Static
179,0.4650,1.826,0.000,100,Static
180,0.4679,1.861,0.000,100,Static
181,0.4711,1.879,0.000,100,Static
182,0.4742,1.885,0.000,100,Static
183,0.4772,1.895,0.000,100,Static
184,0.4801,1.916,0.000,100,Static
185,0.4835,1.925,0.000,100,Static
186,0.4865,2.055,0.000,100,Static
187,0.4896,2.134,0.000,100,Static
188,0.4926,2.132,0.000,100,Static
189,0.4954,2.172,0.000,100,Static
190,0.4986,2.186,0.000,100,Static
191,0.5019,2.261,0.000,100,Static
192,0.5050,2.332,0.000,100,Static
193,0.5080,2.313,0.000,100,Static
194,0.5109,2.240,0.000,100,Static
195,0.5141,2.145,0.000,100,Static
196,0.5170,2.090,0.000,100,Static
197,0.5198,2.062,0.000,100,Static
198,0.5232,2.044,0.000,100,Static
199,0.5264,2.032,0.000,100,Static
200,0.5297,2.017,0.000,100,Static
201,0.5329,1.939,0.000,100,Static
202,0.5359,2.005,0.000,100,Static
203,0.5394,1.987,0.000,100,Static
204,0.5431,1.973,0.000,100,Static
205,0.5466,1.984,0.000,100,Static
206,0.5498,1.973,0.000,100,Static
207,0.5528,2.009,0.000,100,Static
208,0.5562,1.995,0.000,100,Static
209,0.5593,1.928,0.000,100,Static
210,0.5630,2.120,0.000,100,Static
211,0.5664,2.052,0.000,100,Static
212,0.5696,2.090,0.000,100,Static
213,0.5731,2.121,0.000,100,Static
214,0.5790,2.087,0.000,100,Static
215,0.5826,2.113,0.000,100,Static
216,0.5861,2.133,0.000,100,Static
217,0.5893,0.714,0.000,100,Static
218,0.5926,2.653,0.000,100,Static
219,0.5959,2.704,0.000,100,Static
220,0.5991,2.597,0.000,100,Static
221,0.6026,2.655,0.000,100,Static
222,0.6058,2.665,0.000,100,Static
223,0.6089,2.606,0.000,100,Static
224,0.6125,2.640,0.000,100,Static
225,0.6222,2.724,0.000,100,Static
226,0.6257,2.605,0.000,100,Static
227,0.6290,2.419,0.000,100,Static
228,0.6318,2.295,0.000,100,Static
229,0.6347,2.269,0.000,100,Static
230,0.6378,2.258,0.000,100,Static
231,0.6410,2.210,0.000,100,Static
232,0.6441,2.190,0.000,100,Static
233,0.6472,2.130,0.000,100,Static
234,0.6502,2.024,0.000,100,Static
235,0.6534,2.094,0.000,100,Static
236,0.6564,2.066,0.000,100,Static
237,0.6593,2.042,0.000,100,Static
238,0.6628,2.084,0.000,100,Static
239,0.6658,2.065,0.000,100,Static
240,0.6688,2.085,0.000,100,Static
241,0.6717,2.242,0.000,100,Static
242,0.6746,2.067,0.000,100,Static
243,0.6775,2.106,0.000,100,Static
244,0.6807,2.148,0.000,100,Static
245,0.6837,2.102,0.000,100,Static
246,0.6868,2.130,0.000,100,Static
247,0.6897,2.147,0.000,100,Static
248,0.6926,2.119,0.000,100,Static
249,0.6955,2.284,0.000,100,Static
250,0.7017,2.252,0.000,100,Static
251,0.7048,2.228,0.000,100,Static
252,0.7076,2.233,0.000,100,Static
253,0.7105,2.235,0.000,100,Static
254,0.7135,2.245,0.000,100,Static
255,0.7164,2.246,0.000,100,Static
256,0.7195,2.298,0.000,100,Static
257,0.7228,2.259,0.000,100,Static
258,0.7259,2.257,0.000,100,Static
259,0.7312,2.212,0.000,100,Static
260,0.7341,2.138,0.000,100,Static
261,0.7370,2.141,0.000,100,Static
262,0.7400,1.873,0.000,100,Static
263,0.7433,2.156,0.000,100,Static
264,0.7462,2.128,0.000,100,Static
265,0.7494,1.920,0.000,100,Static
266,0.7522,2.150,0.000,100,Static
267,0.7553,2.072,0.000,100,Static
268,0.7583,2.034,0.000,100,Static
269,0.7618,2.046,0.000,100,Static
270,0.7648,2.032,0.000,100,Static
271,0.7678,2.052,0.000,100,Static
272,0.7711,2.049,0.000,100,Static
273,0.7742,1.915,0.000,100,Static
