# StainedGlass Shader Profiler
# ShaderMode: Dynamic
# BoidCount: 500
# RecordingDuration_s: 30
# GPU: Apple M2
# CPU: Apple M2
# RAM_MB: 16384
# UnityVersion: 6000.3.8f1
# Recorded: 2026-05-07 14:42:45
Frame,PhaseTime_s,GPU_ms,RenderThread_ms,BoidCount,ShaderMode
31,0.0274,3.541,0.000,500,Dynamic
32,0.0503,3.382,0.000,500,Dynamic
33,0.0726,3.989,0.000,500,Dynamic
34,0.0950,4.000,0.000,500,Dynamic
35,0.1174,4.000,0.000,500,Dynamic
36,0.1402,3.718,0.000,500,Dynamic
37,0.1630,3.424,0.000,500,Dynamic
38,0.1860,3.508,0.000,500,Dynamic
39,0.2092,3.021,0.000,500,Dynamic
40,0.2326,3.646,0.000,500,Dynamic
41,0.2577,4.035,0.000,500,Dynamic
42,0.2836,4.173,0.000,500,Dynamic
43,0.3076,4.114,0.000,500,Dynamic
44,0.3314,3.815,0.000,500,Dynamic
45,0.3555,3.067,0.000,500,Dynamic
46,0.3793,3.773,0.000,500,Dynamic
47,0.4030,4.375,0.000,500,Dynamic
48,0.4276,3.862,0.000,500,Dynamic
49,0.4544,7.994,0.000,500,Dynamic
50,0.4812,5.999,0.000,500,Dynamic
51,0.5078,4.763,0.000,500,Dynamic
52,0.5329,4.357,0.000,500,Dynamic
53,0.5578,4.288,0.000,500,Dynamic
54,0.5844,4.238,0.000,500,Dynamic
55,0.6122,3.671,0.000,500,Dynamic
56,0.6370,3.751,0.000,500,Dynamic
57,0.6628,4.252,0.000,500,Dynamic
58,0.6898,4.275,0.000,500,Dynamic
59,0.7176,4.952,0.000,500,Dynamic
60,0.7433,4.710,0.000,500,Dynamic
61,0.7684,4.483,0.000,500,Dynamic
62,0.7937,3.748,0.000,500,Dynamic
63,0.8189,4.237,0.000,500,Dynamic
64,0.8443,4.706,0.000,500,Dynamic
65,0.8696,4.322,0.000,500,Dynamic
66,0.8954,4.152,0.000,500,Dynamic
67,0.9210,4.105,0.000,500,Dynamic
68,0.9469,4.070,0.000,500,Dynamic
69,0.9732,3.905,0.000,500,Dynamic
70,0.9998,3.865,0.000,500,Dynamic
71,1.0284,3.595,0.000,500,Dynamic
72,1.0549,3.585,0.000,500,Dynamic
73,1.0810,0.553,0.000,500,Dynamic
74,1.1073,2.579,0.000,500,Dynamic
75,1.1341,4.169,0.000,500,Dynamic
76,1.1628,4.124,0.000,500,Dynamic
77,1.1925,3.741,0.000,500,Dynamic
78,1.2194,3.542,0.000,500,Dynamic
79,1.2463,3.115,0.000,500,Dynamic
80,1.2730,3.240,0.000,500,Dynamic
81,1.2996,15.716,0.000,500,Dynamic
82,1.3261,9.870,0.000,500,Dynamic
83,1.3528,7.529,0.000,500,Dynamic
84,1.3794,6.331,0.000,500,Dynamic
85,1.4061,5.836,0.000,500,Dynamic
86,1.4330,5.540,0.000,500,Dynamic
87,1.4599,5.320,0.000,500,Dynamic
88,1.4869,5.011,0.000,500,Dynamic
89,1.5159,2.757,0.000,500,Dynamic
90,1.5454,3.264,0.000,500,Dynamic
91,1.5735,3.515,0.000,500,Dynamic
92,1.6017,3.130,0.000,500,Dynamic
93,1.6287,2.522,0.000,500,Dynamic
94,1.6559,3.894,0.000,500,Dynamic
95,1.6827,3.946,0.000,500,Dynamic
96,1.7097,4.451,0.000,500,Dynamic
97,1.7369,3.026,0.000,500,Dynamic
98,1.7637,2.896,0.000,500,Dynamic
99,1.7914,3.188,0.000,500,Dynamic
100,1.8185,3.396,0.000,500,Dynamic
101,1.8461,3.110,0.000,500,Dynamic
102,1.8733,3.268,0.000,500,Dynamic
103,1.9007,3.370,0.000,500,Dynamic
104,1.9277,3.022,0.000,500,Dynamic
105,1.9548,6.681,0.000,500,Dynamic
106,1.9817,3.418,0.000,500,Dynamic
107,2.0086,4.268,0.000,500,Dynamic
108,2.0357,4.089,0.000,500,Dynamic
109,2.0627,3.789,0.000,500,Dynamic
110,2.0887,3.827,0.000,500,Dynamic
111,2.1149,3.851,0.000,500,Dynamic
112,2.1409,3.870,0.000,500,Dynamic
113,2.1666,3.180,0.000,500,Dynamic
114,2.1926,2.775,0.000,500,Dynamic
115,2.2181,3.177,0.000,500,Dynamic
116,2.2438,3.376,0.000,500,Dynamic
117,2.2694,3.498,0.000,500,Dynamic
118,2.2953,3.581,0.000,500,Dynamic
119,2.3209,3.638,0.000,500,Dynamic
120,2.3532,3.682,0.000,500,Dynamic
121,2.3807,3.969,0.000,500,Dynamic
122,2.4064,3.844,0.000,500,Dynamic
123,2.5331,3.228,0.000,500,Dynamic
124,2.5791,3.278,0.000,500,Dynamic
125,2.6098,3.125,0.000,500,Dynamic
126,2.6380,3.930,0.000,500,Dynamic
127,2.6654,3.408,0.000,500,Dynamic
128,2.6924,4.486,0.000,500,Dynamic
129,2.7216,4.564,0.000,500,Dynamic
130,2.7467,3.570,0.000,500,Dynamic
131,2.7743,4.147,0.000,500,Dynamic
132,2.7989,3.150,0.000,500,Dynamic
133,2.8233,4.474,0.000,500,Dynamic
134,2.8476,3.917,0.000,500,Dynamic
135,2.8721,4.496,0.000,500,Dynamic
136,2.8963,4.260,0.000,500,Dynamic
137,2.9207,2.087,0.000,500,Dynamic
138,2.9471,2.629,0.000,500,Dynamic
139,2.9716,3.079,0.000,500,Dynamic
140,2.9957,3.260,0.000,500,Dynamic
141,3.0195,2.757,0.000,500,Dynamic
