# StainedGlass Shader Profiler
# ShaderMode: Hybrid
# BoidCount: 100
# RecordingDuration_s: 30
# GPU: Apple M2
# CPU: Apple M2
# RAM_MB: 16384
# UnityVersion: 6000.3.8f1
# Recorded: 2026-05-07 14:45:30
Frame,PhaseTime_s,GPU_ms,RenderThread_ms,BoidCount,ShaderMode
31,0.0084,2.338,0.000,100,Hybrid
32,0.0120,2.587,0.000,100,Hybrid
33,0.0151,2.430,0.000,100,Hybrid
34,0.0182,2.374,0.000,100,Hybrid
35,0.0211,2.437,0.000,100,Hybrid
36,0.0239,2.542,0.000,100,Hybrid
37,0.0266,2.514,0.000,100,Hybrid
38,0.0294,2.513,0.000,100,Hybrid
39,0.0328,2.483,0.000,100,Hybrid
40,0.0360,2.277,0.000,100,Hybrid
41,0.0392,2.245,0.000,100,Hybrid
42,0.0421,2.139,0.000,100,Hybrid
43,0.0450,2.088,0.000,100,Hybrid
44,0.0478,2.055,0.000,100,Hybrid
45,0.0513,2.032,0.000,100,Hybrid
46,0.0542,1.999,0.000,100,Hybrid
47,0.0572,2.018,0.000,100,Hybrid
48,0.0600,1.711,0.000,100,Hybrid
49,0.0627,1.812,0.000,100,Hybrid
50,0.0659,1.824,0.000,100,Hybrid
51,0.0687,1.797,0.000,100,Hybrid
52,0.0717,1.862,0.000,100,Hybrid
53,0.0746,1.837,0.000,100,Hybrid
54,0.0776,1.820,0.000,100,Hybrid
55,0.0805,1.826,0.000,100,Hybrid
56,0.0838,1.719,0.000,100,Hybrid
57,0.0867,1.715,0.000,100,Hybrid
58,0.0896,1.775,0.000,100,Hybrid
59,0.0930,1.759,0.000,100,Hybrid
60,0.0958,1.765,0.000,100,Hybrid
61,0.0991,1.757,0.000,100,Hybrid
62,0.1023,1.752,0.000,100,Hybrid
63,0.1051,1.772,0.000,100,Hybrid
64,0.1078,1.739,0.000,100,Hybrid
65,0.1111,1.725,0.000,100,Hybrid
66,0.1147,1.801,0.000,100,Hybrid
67,0.1181,1.780,0.000,100,Hybrid
68,0.1209,1.765,0.000,100,Hybrid
69,0.1238,1.482,0.000,100,Hybrid
70,0.1269,1.819,0.000,100,Hybrid
71,0.1301,1.831,0.000,100,Hybrid
72,0.1336,1.918,0.000,100,Hybrid
73,0.1365,1.866,0.000,100,Hybrid
74,0.1393,1.883,0.000,100,Hybrid
75,0.1424,1.895,0.000,100,Hybrid
76,0.1452,1.927,0.000,100,Hybrid
77,0.1481,1.932,0.000,100,Hybrid
78,0.1521,1.931,0.000,100,Hybrid
79,0.1550,1.957,0.000,100,Hybrid
80,0.1591,2.284,0.000,100,Hybrid
81,0.1718,2.106,0.000,100,Hybrid
82,0.1752,2.193,0.000,100,Hybrid
83,0.1781,2.213,0.000,100,Hybrid
84,0.1811,1.785,0.000,100,Hybrid
85,0.1845,3.219,0.000,100,Hybrid
86,0.1875,3.118,0.000,100,Hybrid
87,0.1910,3.292,0.000,100,Hybrid
88,0.1939,3.361,0.000,100,Hybrid
89,0.1967,2.872,0.000,100,Hybrid
90,0.2002,2.675,0.000,100,Hybrid
91,0.2033,2.491,0.000,100,Hybrid
92,0.2064,2.517,0.000,100,Hybrid
93,0.2094,2.420,0.000,100,Hybrid
94,0.2127,2.371,0.000,100,Hybrid
95,0.2159,2.350,0.000,100,Hybrid
96,0.2188,1.948,0.000,100,Hybrid
97,0.2217,2.069,0.000,100,Hybrid
98,0.2247,2.035,0.000,100,Hybrid
99,0.2274,2.010,0.000,100,Hybrid
100,0.2307,2.058,0.000,100,Hybrid
101,0.2339,2.037,0.000,100,Hybrid
102,0.2368,2.025,0.000,100,Hybrid
103,0.2396,2.069,0.000,100,Hybrid
104,0.2424,1.936,0.000,100,Hybrid
105,0.2452,2.031,0.000,100,Hybrid
106,0.2482,2.035,0.000,100,Hybrid
107,0.2514,2.012,0.000,100,Hybrid
108,0.2542,2.034,0.000,100,Hybrid
109,0.2571,2.048,0.000,100,Hybrid
110,0.2598,2.032,0.000,100,Hybrid
111,0.2626,2.059,0.000,100,Hybrid
112,0.2656,2.074,0.000,100,Hybrid
113,0.2685,2.002,0.000,100,Hybrid
114,0.2717,2.183,0.000,100,Hybrid
115,0.2746,2.149,0.000,100,Hybrid
116,0.2773,2.105,0.000,100,Hybrid
117,0.2801,2.136,0.000,100,Hybrid
118,0.2832,2.119,0.000,100,Hybrid
119,0.2859,2.094,0.000,100,Hybrid
120,0.2886,2.469,0.000,100,Hybrid
121,0.2918,2.274,0.000,100,Hybrid
122,0.2946,2.170,0.000,100,Hybrid
123,0.2975,2.197,0.000,100,Hybrid
124,0.3006,2.208,0.000,100,Hybrid
125,0.3034,2.182,0.000,100,Hybrid
126,0.3062,2.225,0.000,100,Hybrid
127,0.3090,2.222,0.000,100,Hybrid
128,0.3121,2.065,0.000,100,Hybrid
129,0.3151,2.175,0.000,100,Hybrid
130,0.3180,2.213,0.000,100,Hybrid
131,0.3207,2.193,0.000,100,Hybrid
132,0.3235,2.206,0.000,100,Hybrid
133,0.3264,2.219,0.000,100,Hybrid
134,0.3292,2.237,0.000,100,Hybrid
135,0.3326,2.242,0.000,100,Hybrid
136,0.3355,2.265,0.000,100,Hybrid
137,0.3383,2.381,0.000,100,Hybrid
138,0.3411,2.345,0.000,100,Hybrid
139,0.3438,2.271,0.000,100,Hybrid
140,0.3466,2.272,0.000,100,Hybrid
141,0.3501,2.276,0.000,100,Hybrid
142,0.3530,2.241,0.000,100,Hybrid
143,0.3558,2.270,0.000,100,Hybrid
144,0.3585,2.273,0.000,100,Hybrid
145,0.3612,2.150,0.000,100,Hybrid
146,0.3643,2.231,0.000,100,Hybrid
147,0.3672,2.244,0.000,100,Hybrid
148,0.3703,2.216,0.000,100,Hybrid
149,0.3732,2.266,0.000,100,Hybrid
150,0.3761,2.268,0.000,100,Hybrid
151,0.3790,2.251,0.000,100,Hybrid
152,0.3821,2.278,0.000,100,Hybrid
153,0.3851,2.282,0.000,100,Hybrid
154,0.3881,2.286,0.000,100,Hybrid
155,0.3914,2.336,0.000,100,Hybrid
156,0.3946,2.326,0.000,100,Hybrid
157,0.3977,2.316,0.000,100,Hybrid
158,0.4007,2.311,0.000,100,Hybrid
159,0.4038,2.334,0.000,100,Hybrid
160,0.4068,2.456,0.000,100,Hybrid
161,0.4102,2.372,0.000,100,Hybrid
162,0.4132,2.494,0.000,100,Hybrid
163,0.4162,2.437,0.000,100,Hybrid
164,0.4192,2.405,0.000,100,Hybrid
165,0.4227,2.440,0.000,100,Hybrid
166,0.4256,2.421,0.000,100,Hybrid
167,0.4287,2.414,0.000,100,Hybrid
168,0.4322,2.439,0.000,100,Hybrid
169,0.4353,2.363,0.000,100,Hybrid
170,0.4382,2.482,0.000,100,Hybrid
171,0.4413,2.494,0.000,100,Hybrid
172,0.4444,2.454,0.000,100,Hybrid
173,0.4477,2.522,0.000,100,Hybrid
174,0.4513,2.501,0.000,100,Hybrid
175,0.4544,2.489,0.000,100,Hybrid
176,0.4574,2.936,0.000,100,Hybrid
177,0.4606,2.611,0.000,100,Hybrid
178,0.4635,2.722,0.000,100,Hybrid
179,0.4667,2.685,0.000,100,Hybrid
180,0.4702,2.602,0.000,100,Hybrid
181,0.4734,2.463,0.000,100,Hybrid
182,0.4765,2.357,0.000,100,Hybrid
183,0.4794,2.279,0.000,100,Hybrid
184,0.4822,1.730,0.000,100,Hybrid
185,0.4851,1.660,0.000,100,Hybrid
186,0.4877,1.685,0.000,100,Hybrid
187,0.4910,1.701,0.000,100,Hybrid
188,0.4939,1.680,0.000,100,Hybrid
189,0.4966,1.663,0.000,100,Hybrid
190,0.4992,1.654,0.000,100,Hybrid
191,0.5020,1.633,0.000,100,Hybrid
192,0.5047,1.563,0.000,100,Hybrid
193,0.5077,1.614,0.000,100,Hybrid
194,0.5108,1.567,0.000,100,Hybrid
195,0.5135,1.548,0.000,100,Hybrid
196,0.5164,1.537,0.000,100,Hybrid
197,0.5193,1.518,0.000,100,Hybrid
198,0.5220,1.515,0.000,100,Hybrid
199,0.5250,1.506,0.000,100,Hybrid
200,0.5278,1.463,0.000,100,Hybrid
201,0.5308,1.458,0.000,100,Hybrid
202,0.5336,1.453,0.000,100,Hybrid
203,0.5363,1.449,0.000,100,Hybrid
204,0.5392,1.451,0.000,100,Hybrid
205,0.5421,1.451,0.000,100,Hybrid
206,0.5448,1.451,0.000,100,Hybrid
207,0.5478,1.450,0.000,100,Hybrid
208,0.5509,1.437,0.000,100,Hybrid
209,0.5539,1.435,0.000,100,Hybrid
210,0.5569,1.437,0.000,100,Hybrid
211,0.5595,1.442,0.000,100,Hybrid
212,0.5621,1.450,0.000,100,Hybrid
213,0.5651,1.449,0.000,100,Hybrid
214,0.5679,1.453,0.000,100,Hybrid
215,0.5709,1.466,0.000,100,Hybrid
216,0.5738,1.627,0.000,100,Hybrid
217,0.5766,1.553,0.000,100,Hybrid
218,0.5794,1.553,0.000,100,Hybrid
219,0.5824,1.561,0.000,100,Hybrid
220,0.5854,1.544,0.000,100,Hybrid
221,0.5883,1.560,0.000,100,Hybrid
222,0.5915,1.569,0.000,100,Hybrid
223,0.5941,1.571,0.000,100,Hybrid
224,0.5969,1.708,0.000,100,Hybrid
225,0.5997,1.654,0.000,100,Hybrid
226,0.6023,1.627,0.000,100,Hybrid
227,0.6049,1.649,0.000,100,Hybrid
228,0.6076,1.665,0.000,100,Hybrid
229,0.6106,1.665,0.000,100,Hybrid
230,0.6133,1.703,0.000,100,Hybrid
231,0.6161,1.704,0.000,100,Hybrid
232,0.6188,1.728,0.000,100,Hybrid
233,0.6216,1.829,0.000,100,Hybrid
234,0.6244,1.937,0.000,100,Hybrid
235,0.6272,1.892,0.000,100,Hybrid
236,0.6303,1.947,0.000,100,Hybrid
237,0.6331,1.944,0.000,100,Hybrid
238,0.6358,1.944,0.000,100,Hybrid
239,0.6385,1.985,0.000,100,Hybrid
240,0.6413,2.177,0.000,100,Hybrid
241,0.6440,2.062,0.000,100,Hybrid
242,0.6466,2.140,0.000,100,Hybrid
243,0.6492,2.175,0.000,100,Hybrid
244,0.6522,2.206,0.000,100,Hybrid
245,0.6550,2.222,0.000,100,Hybrid
246,0.6578,2.239,0.000,100,Hybrid
247,0.6604,2.242,0.000,100,Hybrid
248,0.6630,1.926,0.000,100,Hybrid
249,0.6657,1.892,0.000,100,Hybrid
250,0.6684,1.838,0.000,100,Hybrid
251,0.6714,1.864,0.000,100,Hybrid
252,0.6742,1.886,0.000,100,Hybrid
253,0.6769,1.860,0.000,100,Hybrid
254,0.6795,1.869,0.000,100,Hybrid
255,0.6822,1.850,0.000,100,Hybrid
256,0.6849,1.742,0.000,100,Hybrid
257,0.6876,1.844,0.000,100,Hybrid
258,0.6907,1.855,0.000,100,Hybrid
259,0.6935,1.824,0.000,100,Hybrid
260,0.6962,1.845,0.000,100,Hybrid
261,0.6990,1.824,0.000,100,Hybrid
262,0.7017,1.811,0.000,100,Hybrid
263,0.7044,1.826,0.000,100,Hybrid
264,0.7072,1.907,0.000,100,Hybrid
265,0.7104,1.820,0.000,100,Hybrid
266,0.7131,1.864,0.000,100,Hybrid
267,0.7158,1.832,0.000,100,Hybrid
268,0.7185,1.815,0.000,100,Hybrid
269,0.7213,1.837,0.000,100,Hybrid
270,0.7239,1.847,0.000,100,Hybrid
271,0.7266,1.832,0.000,100,Hybrid
272,0.7293,1.969,0.000,100,Hybrid
273,0.7326,1.910,0.000,100,Hybrid
274,0.7353,1.851,0.000,100,Hybrid
275,0.7380,1.888,0.000,100,Hybrid
276,0.7408,1.931,0.000,100,Hybrid
277,0.7434,1.897,0.000,100,Hybrid
278,0.7460,1.906,0.000,100,Hybrid
279,0.7488,1.912,0.000,100,Hybrid
280,0.7519,1.780,0.000,100,Hybrid
281,0.7546,1.868,0.000,100,Hybrid
282,0.7573,1.946,0.000,100,Hybrid
283,0.7600,1.944,0.000,100,Hybrid
284,0.7626,1.957,0.000,100,Hybrid
285,0.7654,1.958,0.000,100,Hybrid
286,0.7681,1.954,0.000,100,Hybrid
287,0.7712,1.991,0.000,100,Hybrid
288,0.7739,2.115,0.000,100,Hybrid
289,0.7767,2.026,0.000,100,Hybrid
290,0.7794,2.100,0.000,100,Hybrid
291,0.7821,2.075,0.000,100,Hybrid
292,0.7849,2.048,0.000,100,Hybrid
293,0.7876,2.086,0.000,100,Hybrid
294,0.7907,2.132,0.000,100,Hybrid
295,0.7934,2.106,0.000,100,Hybrid
296,0.7960,2.257,0.000,100,Hybrid
297,0.7988,2.270,0.000,100,Hybrid
298,0.8014,2.185,0.000,100,Hybrid
299,0.8040,2.209,0.000,100,Hybrid
300,0.8067,2.265,0.000,100,Hybrid
301,0.8095,2.270,0.000,100,Hybrid
302,0.8125,2.221,0.000,100,Hybrid
303,0.8152,2.160,0.000,100,Hybrid
304,0.8179,1.732,0.000,100,Hybrid
305,0.8208,1.732,0.000,100,Hybrid
306,0.8234,1.789,0.000,100,Hybrid
307,0.8260,1.776,0.000,100,Hybrid
308,0.8286,1.766,0.000,100,Hybrid
309,0.8318,1.762,0.000,100,Hybrid
310,0.8347,1.757,0.000,100,Hybrid
311,0.8374,1.747,0.000,100,Hybrid
312,0.8402,1.892,0.000,100,Hybrid
313,0.8431,1.747,0.000,100,Hybrid
314,0.8457,1.739,0.000,100,Hybrid
315,0.8483,1.739,0.000,100,Hybrid
316,0.8515,1.710,0.000,100,Hybrid
317,0.8542,1.710,0.000,100,Hybrid
318,0.8568,1.737,0.000,100,Hybrid
319,0.8596,1.719,0.000,100,Hybrid
320,0.8622,1.723,0.000,100,Hybrid
321,0.8650,1.724,0.000,100,Hybrid
322,0.8678,1.673,0.000,100,Hybrid
323,0.8708,1.680,0.000,100,Hybrid
324,0.8749,1.722,0.000,100,Hybrid
325,0.8777,1.700,0.000,100,Hybrid
326,0.8804,1.696,0.000,100,Hybrid
327,0.8831,1.695,0.000,100,Hybrid
328,0.8859,1.598,0.000,100,Hybrid
329,0.8887,1.677,0.000,100,Hybrid
330,0.8919,1.695,0.000,100,Hybrid
331,0.8947,1.673,0.000,100,Hybrid
332,0.8975,1.687,0.000,100,Hybrid
333,0.9004,1.699,0.000,100,Hybrid
334,0.9032,1.691,0.000,100,Hybrid
335,0.9064,1.699,0.000,100,Hybrid
336,0.9094,1.766,0.000,100,Hybrid
337,0.9127,1.790,0.000,100,Hybrid
338,0.9154,1.810,0.000,100,Hybrid
339,0.9182,1.800,0.000,100,Hybrid
340,0.9210,1.820,0.000,100,Hybrid
341,0.9240,1.874,0.000,100,Hybrid
342,0.9267,1.856,0.000,100,Hybrid
343,0.9294,1.869,0.000,100,Hybrid
344,0.9326,1.953,0.000,100,Hybrid
345,0.9355,1.961,0.000,100,Hybrid
346,0.9381,2.040,0.000,100,Hybrid
347,0.9411,2.065,0.000,100,Hybrid
348,0.9438,2.044,0.000,100,Hybrid
349,0.9465,2.087,0.000,100,Hybrid
350,0.9494,2.092,0.000,100,Hybrid
351,0.9525,2.076,0.000,100,Hybrid
352,0.9554,2.300,0.000,100,Hybrid
353,0.9584,2.419,0.000,100,Hybrid
354,0.9610,2.268,0.000,100,Hybrid
355,0.9643,2.272,0.000,100,Hybrid
356,0.9669,2.275,0.000,100,Hybrid
357,0.9701,2.236,0.000,100,Hybrid
358,0.9730,2.273,0.000,100,Hybrid
359,0.9757,2.276,0.000,100,Hybrid
360,0.9786,2.514,0.000,100,Hybrid
361,0.9817,2.398,0.000,100,Hybrid
362,0.9848,2.364,0.000,100,Hybrid
363,0.9878,2.457,0.000,100,Hybrid
364,0.9916,2.510,0.000,100,Hybrid
365,0.9951,2.472,0.000,100,Hybrid
366,0.9985,2.446,0.000,100,Hybrid
367,1.0017,2.426,0.000,100,Hybrid
368,1.0044,2.472,0.000,100,Hybrid
369,1.0075,2.482,0.000,100,Hybrid
370,1.0112,2.420,0.000,100,Hybrid
371,1.0143,2.469,0.000,100,Hybrid
372,1.0178,2.431,0.000,100,Hybrid
373,1.0210,2.416,0.000,100,Hybrid
374,1.0243,2.427,0.000,100,Hybrid
375,1.0275,2.410,0.000,100,Hybrid
376,1.0314,2.911,0.000,100,Hybrid
377,1.0347,2.595,0.000,100,Hybrid
378,1.0377,2.493,0.000,100,Hybrid
379,1.0408,2.440,0.000,100,Hybrid
380,1.0441,2.340,0.000,100,Hybrid
381,1.0477,2.331,0.000,100,Hybrid
382,1.0512,2.322,0.000,100,Hybrid
383,1.0541,2.274,0.000,100,Hybrid
384,1.0569,2.457,0.000,100,Hybrid
385,1.0595,2.192,0.000,100,Hybrid
386,1.0623,2.197,0.000,100,Hybrid
387,1.0654,2.221,0.000,100,Hybrid
388,1.0683,2.166,0.000,100,Hybrid
389,1.0714,2.172,0.000,100,Hybrid
